id,localdate,title,content,userid,emotion
1,2/13/1592,1월 초1일 (임술) 맑다.,"새벽에 아우 여필(汝弼)과 조카 봉, 아들 회가 와서 이야기했다. 다만 어머니를 떠나 남쪽에서 두번이나 설을 세니 간절한 회포를 이길 길이 없다. 병마사의 군관 이경신(李敬信)이 병마사의 편지와 설 선물과 장전(長箭)과 편전(片箭) 등 여러가지 물건을 바치러 가지고 왔다.",1,12
2,2/14/1592,1월 초2일 (계해) 맑다.,나라의 제삿날(明宗 仁順王后 沈氏의 제삿날)임에도 공무를 보았다. 김인보(金仁甫)와 함께 이야기했다.,1,0
3,2/15/1592,1월 초3일 (갑자) 맑다.,동헌(여수시 군자동 진남관 뒷쪽)에 나가 별방군을 점검하고 각 고을과 포구에 공문을 써 보냈다.,1,0
4,2/16/1592,1월 초4일 (을축) 맑다.,동헌에 나가 공무를 봤다.,1,0
5,2/17/1592,1월 초5일 (병인) 맑다.,동헌에 나가 공무를 봤다.,1,0
6,2/18/1592,1월 초6일 (정묘) 맑다.,동헌에 나가 공무를 봤다.,1,0
7,2/19/1592,1월 초7일 (무진) 아침에는 맑았다.,늦게부터 비와 눈이 번갈아 종일 내렸다. 조카 봉이 아산으로 갔다. 남원에서 전문(箋文: 임금께 바칠 일종의 글월)을 받들고 갈 유생이 들어왔다.,1,0
8,2/20/1592,1월 초8일 (기사) 맑다.,객사에 나갔다가 동헌에서 공무를 봤다.,1,0
9,2/21/1592,1월 초9일 (경오) 맑다.,"아침밥을 일찍 먹은 다음, 동헌에 나가 전문을 봉하여 올려 보냈다.",1,0
10,2/22/1592,1월 초10일 (신미) 종일 비가 내렸다.,방답(전남 여천군 돌산면)에 새 첨사로 이순신(李純信)이 부임하여 들어왔다.,1,0
11,2/23/1592,1월 11일 (임신) 종일 가랑비가 내렸다.,"늦게야 동헌에 나가 공무를 봤다. 이봉수(李鳳壽)가 선생원(전남 여천군 율촌면 성생원)에 돌 뜨는 곳을 가 보고 와서 보고하기를 ""이미 큰 돌 열일곱 덩이에 구멍을 뚫었다."" 고 했다. 서문 밖 해자(성 주위를 파서 물을 채운 곳)가 네 발쯤 무너졌다. 심사립(沈士立)과 이야기했다.",1,0
12,2/24/1592,1월 12일 (계유) 궂은 비가 개이지 않다.,식사한 뒤에 객사 동헌에 나갔다. 본영 및 각 포구의 진무들에게 우등을 가리는 활쏘기를 시합했다.,1,0
13,2/25/1592,1월 13일 (갑술) 아침에 흐렸다.,동헌에 나가 공무를 봤다.,1,0
14,2/26/1592,1월 14일 (을해) 맑다.,동헌에 나가 공무를 보고 난 뒤에 활을 쏘았다.,1,0
15,2/27/1592,1월 15일 (병자) 흐렸으나 비는 오지 않았다.,새벽에 망궐례를 하였다.,1,0
16,2/28/1592,1월 16일 (정축) 맑다.,"동헌에 나가 공무를 봤다. 각 고을의 벼슬아치와 색리(고을의 아전) 등이 인사하러 왔다. 방답의 병선을 맡은 군관들과 색리들이 그들 병선을 수리하지 않았기 때문에 곤장을 쳤다. 우후(지방 병마사영이나 수영에 첨사아래에 있는 무관)∙가수(假守: 임시 직원)도 역시 점검하지 않아 이 지경에까지 된 것이니 해괴하기 짝이 없다. 공무를 어줍짢게 여기고, 제 몸만 살찌러 들며 이와 같이 돌보지 않으니, 앞 날의 일을 알만하다. 성밑에 사는 박몽세(朴夢世)는 석수인데 선생원 돌 뜨는 곳에 가서 해를 끼치고 이웃집 개에게 까지 피해를 입혔으므로, 곤장 여든 대를 쳤다.",1,3
17,2/29/1592,1월 17일 (무인) 맑다.,춥기가 한 겨울 같다. 아침에 순찰사와 남원의 반자(아전의 별칭)에게 편지를 보냈다. 저녁에 쇠사슬 박을 구멍낸 돌을 실어오는 일로 배 네척을 선생원으로 보냈다. 김효성(金孝誠)이 거느리고 갔다.,1,0
18,3/1/1592,1월 18일 (기묘) 맑다.,동헌에 나가 공무를 봤다. 여도(고흥군 점암면 여호리)의 제1호선이 돌아갔다. 우등계문(優等啓聞)과 대가단자(代價單子)를 순찰사 영(營)으로 봉하여 보냈다.,1,0
19,3/2/1592,1월 19일 (경진) 맑다.,동헌에서 공무를 본 뒤 각 군대를 점검했다.,1,0
20,3/3/1592,1월 20일 (신사) 맑으나 바람이 세게 불었다.,동헌에 나가 공무를 봤다.,1,0
21,3/4/1592,1월 21일 (임오) 맑다.,동헌에 나가 공무를 봤다. 감목관(목장의 감독관)이 와서 잤다.,1,0
22,3/5/1592,1월 22일 (계미) 맑다.,아침에 광양현감(魚泳潭)이 와서 인사했다.,1,0
23,3/6/1592,1월 23일 (갑신) 맑다.,둘째 형 요신(堯臣)의 제삿날임에도 공무를 보았다. 사복시(司僕寺)에서 받아와 기르던 말을 올려 보냈다.,1,0
24,3/7/1592,1월 24일 (을유) 맑다.,"맏형 희신(羲臣)의 제삿날임에도 공무를 보았다. 순찰사의 답장을 보니, 고부군수 이숭고(李崇古)를 유임시켜 달라는 장계를 올린 것 때문에 물의를 일으켜 사직서를 냈다고 한다.",1,0
25,3/8/1592,1월 25일 (병술) 맑다.,동헌에 나가 공무를 본 뒤 활을 쏘았다.,1,0
26,3/9/1592,1월 26일 (정해) 맑다.,동헌에 나가 공무를 본 뒤 흥양현감(裵興立)과 순천부사(權俊)이 와서 이야기했다.,1,0
27,3/10/1592,1월 27일 (무자) 맑다.,오후에 광양현감이 왔다.,1,0
28,3/11/1592,1월 28일 (기축) 맑다.,동헌에 나가 공무를 봤다.,1,0
29,3/12/1592,1월 29일 (경인) 맑다.,동헌에 나가 공무를 봤다.,1,0
30,3/13/1592,1월 30일 (신묘) 흐리나 비는 오지 않았다.,첫여름 같이 따뜻하다. 동헌에 나가 공무를 본 뒤 활을 쏘았다.,1,0
31,3/14/1592,2월 초1일 (임진),"새벽에 망궐례를 했다. 가랑비가 잠간 뿌리다가 늦게야 개었다. 선창(여수시 연등동 입구)으로 나가 쓸만한 널빤지를 고르는데, 때마침 방천안에 몽어 떼가 밀려 들어 왔기로, 그물을 쳐서 이천 마리를 잡았다. 참으로 장쾌했다. 그 길로 전선 위에 앉아서 술을 마시며 우후 이몽구(李夢龜)와 함께 새 봄의 경치를 바라보았다.",1,1
32,3/15/1592,2월 초2일 (계사) 맑다.,동헌에서 공무를 봤다. 쇠사슬을 건너매는 데 필요한 크고 작은돌 여든 여 개를 실어 왔다. 활 열순을 쏘았다.,1,0
